,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
1161,3,1,12560.0,600,800.0,4690.0,0.0,203.0,1,1,1,4.33
1162,3,1,16000.0,800,1700.0,10000.0,0.0,396.0,1,1,1,3.96
1163,3,1,50000.0,800,0.0,8000.0,0.0,477.0,1,0,1,5.96
1164,4,1,100000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1165,3,1,13387.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1166,3,1,17099.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1167,3,1,73000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1168,3,1,17400.0,700,0.0,2195.0,2195.0,96.0,1,0,1,2.19
1169,4,1,75000.0,700,0.0,4306.0,0.0,1718.0,1,0,1,39.9
1170,2,1,1000.0,700,1065.0,3177.63,0.0,65.0,1,1,1,2.05
1171,1,1,500.0,800,1000.0,5000.0,0.0,0.0,0,1,1,0.0
1172,3,1,35000.0,800,0.0,2000.0,0.0,0.0,0,0,1,0.0
1173,3,1,5000.0,800,0.0,3628.14,3628.14,25.0,1,0,1,0.34
1174,4,1,29750.0,700,0.0,7500.0,0.0,690.0,1,0,1,9.2
1175,4,1,17679.0,700,350.0,3800.0,0.0,520.0,1,1,1,13.68
1176,4,1,25000.0,700,1000.0,2500.0,0.0,442.96,1,1,1,17.72
1177,4,1,15000.0,800,0.0,6300.0,4800.0,1985.0,1,0,1,17.88
1178,3,1,100000.0,800,0.0,13702.92,952.0,341.0,1,0,1,2.33
1179,3,1,13900.0,700,0.0,6666.667,0.0,1289.0,1,0,1,19.33
1180,4,1,5000.0,0,0.0,1200.0,1200.0,0.0,0,0,0,0.0
1181,4,1,50000.0,800,1208.0,3033.333,0.0,71.45,1,1,1,2.36
1182,2,1,200.0,0,1500.0,4000.0,0.0,0.0,0,1,0,0.0
1183,3,1,12115.0,600,750.0,4000.0,0.0,125.0,1,1,1,3.12
1184,1,1,3000.0,700,600.0,3600.0,200.0,470.0,1,1,1,12.37
